AB01,AB02,CD03,AB03,EF06,AB04
634.4229736,16,500.459259,693.9898499,52.61783447,602.5560303
633.330954,16,501.9260162,690.5448547,52.89284058,601.1533813
631.6179962,16,503.6172516,686.7448792,52.93681641,599.8109436
632.2255585,16,502.9776367,687.4648499,53.09084473,599.8334534
631.1710144,16,502.7470154,686.9448364,52.79382324,598.8322388
637.6615387,16,502.3195953,694.6248413,51.40787354,605.3536011
642.6666138,16,502.6209412,699.9448669,49.93389893,610.6146362
640.77164,16,502.3964722,698.5848694,50.40689087,608.9797119
639.567218,16,501.5385681,698.1298645,50.26387939,607.5285217
639.7277954,16,500.9820129,699.3448669,50.31887207,607.7985291
642.1901886,16,500.8743866,702.1848267,49.59838257,610.0784119
641.0446381,16,500.4561859,701.6048462,49.76886597,608.983429
641.4621704,16,501.0342896,701.7598328,58.27183838,609.1559509
642.0777771,16,504.0693115,700.8948425,82.93927612,609.6996887
641.7833557,16,503.9955139,700.5098511,83.11526489,609.1147095
641.4220306,16,503.9955078,700.4298401,82.6697998,609.0284485
638.7803162,16,504.0293304,697.3448242,84.72678223,606.0885864
641.2507355,16,504.6474121,706.3898438,122.4623596,608.7397278
641.8502686,16,504.8749481,708.1848206,128.8973633,609.2197021
640.7689636,16,504.8288361,707.0048279,128.7818604,607.9897522
641.7672974,16,504.5859131,708.2598267,128.8533569,609.0284607
641.5719116,16,504.3276184,708.3298096,128.6113647,608.8447205
640.3781982,16,504.1707794,707.3198425,128.9083557,607.5660278
640.9295471,16,504.2076843,707.7598389,128.6773621,608.1622498
638.2128967,16,504.5367126,704.5548401,129.5518433,605.7023376
639.8643036,16,505.0410065,705.8798523,129.1118774,607.4310242
640.6511902,16,505.5176178,706.1898621,129.1943542,608.3947266
643.2393738,16,506.7291351,707.3748596,127.7038391,611.2671448
641.2694641,16,508.7678192,703.2748657,127.7753906,610.0446594
641.5906494,16,509.4627563,702.2698242,127.8303833,609.9246887
636.3393524,16,507.9498871,693.2948303,97.07435303,604.7535767
634.2757568,16,504.6074341,689.0748535,53.32182617,603.0584778
633.2747559,16,504.3983368,688.0298279,54.0697876,601.7834961
627.8708893,16,504.1277191,682.6948303,55.75830688,596.4735779
636.8452148,16,503.4358124,692.9898499,52.19985352,604.9110474
639.8080963,16,505.3638763,693.7998535,51.93585205,607.8585083
640.2470459,16,504.7027557,695.4298401,51.79836426,608.4584778
643.3838989,16,504.2045959,702.3248657,72.4508667,611.3346741
641.4514801,16,504.1338745,706.2448608,117.9247681,608.7209656
643.7452362,16,503.9708923,708.9848328,116.8688049,611.0533813
643.723822,16,503.7433136,709.5198425,116.5113159,611.3196472
643.8790588,16,503.5649506,710.0248535,116.7203064,611.3158936
641.486264,16,503.6633636,707.0148682,117.5343018,608.6909729
642.8914246,16,503.7033356,708.5848206,117.0283081,610.4871338
642.0670593,16,503.903241,707.6298401,117.4077942,609.5721924
641.9493011,16,503.9094055,707.2748291,117.6277954,609.452179
643.4427856,16,504.0939087,708.5448425,117.0173096,610.9783997
642.8807129,16,504.4290894,707.8898193,117.2812988,610.4684326
642.0162048,16,504.5951355,706.9098511,117.7047974,609.7746887
639.5564972,16,504.6258942,703.6798462,118.17229,606.7785645
640.4879272,16,504.8749542,704.2248535,118.1393005,607.6185242
639.2942017,16,505.0440796,702.6098267,118.6838013,606.3135559
636.5240234,16,505.2870026,699.7098694,119.5418091,603.8648743
637.2761261,16,505.5084015,699.7198608,119.398822,604.2211182
635.6568451,16,506.031134,697.259845,119.5143494,602.6834839
636.6284088,16,506.4185608,697.2198364,119.5803345,603.4898254
635.7424927,16,506.6338104,696.0348389,120.031366,602.724762
631.7063171,16,506.8459839,691.8098694,121.1258911,598.8397217
634.1312317,16,506.2186981,695.2598694,120.3888733,601.0785278
635.5042786,16,505.8989075,697.6498596,119.8003479,603.0209656
637.52771,16,505.9972992,699.4948547,119.376825,605.0798706
633.2185394,16,506.3416992,694.464856,120.344873,600.6059387
632.1238556,16,505.6160004,693.6648499,120.6583679,599.2897278
634.9796814,16,501.8183899,696.7798523,87.64735718,602.2860413
636.0556305,16,500.9666321,696.4648499,71.38392334,603.3285889
635.0519501,16,499.8749725,696.8698242,71.24639282,602.5296997
637.921167,16,500.1855743,699.9448547,70.02533569,605.6385986
634.5220001,16,500.050296,697.1298584,71.46639404,602.6422668
634.990387,16,499.9764923,697.3798401,71.17487183,602.9498047
634.2597046,16,500.154837,696.279834,71.3343811,602.2409668
633.0365356,16,500.357785,694.7798584,72.01088867,601.0896362
635.1081543,16,500.394696,697.1398315,71.268396,603.2348267
633.6280518,16,500.0041718,695.9148193,71.41688843,601.520874
634.5059418,16,499.9703308,696.909845,71.36738281,602.38349
633.3951935,16,499.8226929,695.5298645,71.85137329,601.0034363
634.1098206,16,499.7550476,696.4748535,71.63138428,601.8247192
634.099118,16,499.7519592,696.3648254,71.58188477,601.7833923
633.1328918,16,499.9272705,695.6848328,71.46088257,601.333429
631.8936768,16,500.0595032,693.7448853,72.08239136,599.7734375
632.2309113,16,500.3454865,694.0548462,71.93938599,600.4522156
634.8565674,16,500.5207703,696.6498596,71.11435547,602.9085754
636.4169678,16,500.5176849,698.5148499,70.64138184,604.5061523
637.2654175,16,500.2255676,700.0498535,70.6963501,605.6723511
637.5303925,16,500.1548401,700.359845,70.58085938,605.8148499
637.86763,16,500.2686066,700.3498657,70.54238281,606.0248291
639.8241577,16,500.4930878,702.2048157,69.86581421,608.132251
637.7445129,16,500.5115356,699.9298706,70.50387573,606.1073303
638.512674,16,500.9543304,700.2848267,70.03081665,606.7410461
636.7033539,16,501.1449768,697.3748535,59.76786499,605.3348572
638.4323792,16,500.3762421,697.6898376,23.36879883,607.0485535
638.1888123,16,500.0871826,697.299823,5.158312988,606.8423035
639.4842377,16,500.2470886,698.7548462,4.800820923,608.1697449
640.0543335,16,500.4162109,699.3198486,5.059320068,609.0097107
639.7278046,16,500.6652863,698.3848694,4.83381958,608.5447388
640.7100739,16,501.0342773,699.3498535,4.503839111,609.8121704
636.574881,16,501.4862915,693.9748718,5.592810059,605.6273376
637.1744232,16,502.0121033,693.6498718,5.647817993,606.1410522
634.0054352,16,502.0274841,690.2648621,6.703848267,603.0284668
639.3691467,16,501.4647736,697.1548462,5.306820679,608.4172363
639.7759766,16,501.3233307,697.5398621,5.037322998,608.5897278
639.8134491,16,501.4340302,697.3048584,5.048318481,608.5109802
640.5414551,16,501.7230621,697.7648499,5.064819336,609.3247009
639.5377777,16,498.6972534,703.1348389,-34.64516296,608.6497192
639.275473,16,498.2175537,703.8248352,-43.1921875,608.4322388
636.3795013,16,498.1160706,700.489856,-42.12512512,605.6498352
639.3557678,16,497.9469543,704.7098877,-43.40116882,608.8897156
638.180777,16,492.8270935,718.8048645,-97.00956726,608.0347656
637.9398926,16,491.9630127,719.6448547,-97.76856384,607.5247681
638.5635284,16,492.2182739,720.3948486,-97.96107788,608.3422424
637.3483948,16,492.1875183,719.0198364,-97.82907715,606.9885193
637.6267395,16,492.162915,719.1598328,-97.66958618,607.2772949
637.3564148,16,492.199823,718.8098572,-97.84555359,607.0860413
636.8211182,16,492.4488892,717.6898865,-97.36707764,606.5498169
637.4420685,16,492.4765717,718.3698669,-97.63106689,607.0372742
637.9746857,16,492.6764343,718.6848633,-97.80708008,607.8322571
636.8933838,16,492.7840698,717.1648499,-97.51557617,606.5760681
639.5458038,16,492.7994446,720.5398621,-98.4120636,609.4034607
639.5832642,16,492.8732391,720.2998291,-98.1205719,609.2722107
635.2259186,16,492.8855377,715.5748657,-96.92157593,605.2972595
611.0517273,1,493.2145569,686.7248596,-89.96409302,581.8147644
578.8399963,1,493.7249847,648.1448364,-80.98807983,550.6598755
547.3883881,1,494.1370392,610.0148376,-72.25407715,519.4861145
532.900473,16,494.2692535,591.6548706,-68.68458557,504.5798584
539.6559723,16,494.0816772,599.1298706,-69.54807434,510.939856
542.9346863,16,493.9771332,604.464856,-75.18008118,514.4836609
539.4150848,16,493.5128143,606.4348511,-97.99406128,511.3786072
537.688739,16,493.2576019,603.669873,-96.84459839,509.2373901
554.1599396,16,492.8240326,623.014856,-100.7275879,524.6723999
569.7719971,1,492.525769,640.0998657,-98.45607605,539.6873657
569.7157898,1,492.8055878,638.9848511,-93.07709045,539.8898621
600.0111481,1,492.3812439,674.6598572,-101.0520813,568.6260559
630.9809906,1,491.7661835,713.7748413,-110.3690796,599.9460449
626.3720428,16,491.3971802,709.7998596,-108.6750732,596.0460388
628.2375702,16,491.046637,711.2998718,-102.9880798,598.2022522
612.1223389,16,491.5355438,689.8548523,-92.05958557,582.3734985
617.3254547,1,491.5048004,696.2548462,-93.90758667,587.5635437
590.346286,1,492.1567596,664.6698486,-86.51008606,562.1648071
551.2880646,1,492.5534393,617.7098389,-76.36807251,524.0423767
530.349765,16,492.9993073,591.2648621,-70.58208313,502.6336243
551.7644684,1,493.1438293,614.2398376,-76.01056824,522.0248413
593.228891,1,492.507312,664.159845,-86.88408203,562.6860901
617.6894653,16,492.2582458,694.9448425,-93.3355835,587.4735413
628.3660339,16,492.7533051,706.6548523,-97.020578,597.8609985
626.6209686,16,494.0417145,698.6698364,-63.36610107,596.6573181
619.4532806,16,495.8774689,685.399823,-44.81467285,589.7872192
